,name,Total,Family households,Family households:2-person household,Family households:3-person household,Family households:4-person household,Family households:5-person household,Family households:6-person household,Family households:7-or-more person household,Nonfamily households,Nonfamily households:1-person household,Nonfamily households:2-person household,Nonfamily households:3-person household,Nonfamily households:4-person household,Nonfamily households:5-person household,Nonfamily households:6-person household,Nonfamily households:7-or-more person household,Family households:1-person household,Totalsize_1,Totalsize_2,Totalsize_3,Totalsize_4,Totalsize_5,Totalsize_6,Totalsize_7up
14000US41003000600,"Census Tract 6, Benton, OR",2164.0,1182.0,705.0,277.0,168.0,32.0,0.0,0.0,982.0,683.0,267.0,32.0,0.0,0.0,0.0,0.0,0,683.0,972.0,309.0,168.0,32.0,0.0,0.0
14000US41003000900,"Census Tract 9, Benton, OR",2432.0,1541.0,920.0,441.0,113.0,42.0,25.0,0.0,891.0,541.0,303.0,47.0,0.0,0.0,0.0,0.0,0,541.0,1223.0,488.0,113.0,42.0,25.0,0.0
14000US41003001001,"Census Tract 10.01, Benton, OR",1727.0,869.0,305.0,161.0,197.0,178.0,28.0,0.0,858.0,537.0,295.0,26.0,0.0,0.0,0.0,0.0,0,537.0,600.0,187.0,197.0,178.0,28.0,0.0
14000US41003001002,"Census Tract 10.02, Benton, OR",1312.0,623.0,330.0,140.0,91.0,51.0,11.0,0.0,689.0,314.0,185.0,97.0,87.0,6.0,0.0,0.0,0,314.0,515.0,237.0,178.0,57.0,11.0,0.0
14000US41003001101,"Census Tract 11.01, Benton, OR",1367.0,244.0,91.0,68.0,21.0,29.0,35.0,0.0,1123.0,659.0,173.0,103.0,63.0,125.0,0.0,0.0,0,659.0,264.0,171.0,84.0,154.0,35.0,0.0
14000US41003001102,"Census Tract 11.02, Benton, OR",1778.0,509.0,331.0,98.0,80.0,0.0,0.0,0.0,1269.0,588.0,335.0,157.0,89.0,100.0,0.0,0.0,0,588.0,666.0,255.0,169.0,100.0,0.0,0.0
14000US41003010100,"Census Tract 101, Benton, OR",3427.0,2551.0,1169.0,433.0,562.0,275.0,78.0,34.0,876.0,782.0,94.0,0.0,0.0,0.0,0.0,0.0,0,782.0,1263.0,433.0,562.0,275.0,78.0,34.0
14000US41003010200,"Census Tract 102, Benton, OR",1657.0,1246.0,584.0,277.0,194.0,130.0,58.0,3.0,411.0,257.0,107.0,39.0,8.0,0.0,0.0,0.0,0,257.0,691.0,316.0,202.0,130.0,58.0,3.0
14000US41003010300,"Census Tract 103, Benton, OR",1338.0,996.0,508.0,141.0,190.0,87.0,70.0,0.0,342.0,253.0,89.0,0.0,0.0,0.0,0.0,0.0,0,253.0,597.0,141.0,190.0,87.0,70.0,0.0
14000US41003010400,"Census Tract 104, Benton, OR",1491.0,1048.0,553.0,220.0,113.0,86.0,30.0,46.0,443.0,374.0,29.0,34.0,0.0,6.0,0.0,0.0,0,374.0,582.0,254.0,113.0,92.0,30.0,46.0
14000US41003010600,"Census Tract 106, Benton, OR",1713.0,287.0,192.0,73.0,0.0,0.0,0.0,22.0,1426.0,994.0,280.0,43.0,86.0,23.0,0.0,0.0,0,994.0,472.0,116.0,86.0,23.0,0.0,22.0
14000US41003010702,"Census Tract 107.02, Benton, OR",1090.0,350.0,216.0,80.0,42.0,10.0,2.0,0.0,740.0,332.0,253.0,56.0,58.0,9.0,32.0,0.0,0,332.0,469.0,136.0,100.0,19.0,34.0,0.0
14000US41003010800,"Census Tract 108, Benton, OR",1341.0,929.0,390.0,231.0,201.0,66.0,30.0,11.0,412.0,362.0,45.0,5.0,0.0,0.0,0.0,0.0,0,362.0,435.0,236.0,201.0,66.0,30.0,11.0
14000US41003010900,"Census Tract 109, Benton, OR",2097.0,1316.0,643.0,347.0,265.0,22.0,30.0,9.0,781.0,449.0,247.0,30.0,55.0,0.0,0.0,0.0,0,449.0,890.0,377.0,320.0,22.0,30.0,9.0
14000US41005020100,"Census Tract 201, Clackamas, OR",1700.0,1265.0,676.0,261.0,220.0,81.0,27.0,0.0,435.0,375.0,56.0,0.0,4.0,0.0,0.0,0.0,0,375.0,732.0,261.0,224.0,81.0,27.0,0.0
14000US41005020200,"Census Tract 202, Clackamas, OR",2846.0,1824.0,1014.0,458.0,244.0,108.0,0.0,0.0,1022.0,846.0,151.0,25.0,0.0,0.0,0.0,0.0,0,846.0,1165.0,483.0,244.0,108.0,0.0,0.0
14000US41005020302,"Census Tract 203.02, Clackamas, OR",1774.0,1127.0,567.0,238.0,224.0,50.0,44.0,4.0,647.0,506.0,131.0,0.0,10.0,0.0,0.0,0.0,0,506.0,698.0,238.0,234.0,50.0,44.0,4.0
14000US41005020303,"Census Tract 203.03, Clackamas, OR",2706.0,1410.0,696.0,380.0,314.0,0.0,0.0,20.0,1296.0,972.0,309.0,15.0,0.0,0.0,0.0,0.0,0,972.0,1005.0,395.0,314.0,0.0,0.0,20.0
14000US41005020304,"Census Tract 203.04, Clackamas, OR",2226.0,1651.0,755.0,442.0,340.0,94.0,20.0,0.0,575.0,499.0,76.0,0.0,0.0,0.0,0.0,0.0,0,499.0,831.0,442.0,340.0,94.0,20.0,0.0
14000US41005020401,"Census Tract 204.01, Clackamas, OR",2258.0,1665.0,723.0,362.0,355.0,221.0,4.0,0.0,593.0,557.0,36.0,0.0,0.0,0.0,0.0,0.0,0,557.0,759.0,362.0,355.0,221.0,4.0,0.0
14000US41005020403,"Census Tract 204.03, Clackamas, OR",1319.0,1100.0,496.0,214.0,236.0,154.0,0.0,0.0,219.0,197.0,15.0,7.0,0.0,0.0,0.0,0.0,0,197.0,511.0,221.0,236.0,154.0,0.0,0.0
14000US41005020404,"Census Tract 204.04, Clackamas, OR",1456.0,1245.0,626.0,271.0,294.0,54.0,0.0,0.0,211.0,202.0,9.0,0.0,0.0,0.0,0.0,0.0,0,202.0,635.0,271.0,294.0,54.0,0.0,0.0
14000US41005020501,"Census Tract 205.01, Clackamas, OR",2735.0,1990.0,831.0,402.0,387.0,271.0,83.0,16.0,745.0,702.0,43.0,0.0,0.0,0.0,0.0,0.0,0,702.0,874.0,402.0,387.0,271.0,83.0,16.0
14000US41005020503,"Census Tract 205.03, Clackamas, OR",977.0,666.0,319.0,103.0,181.0,36.0,21.0,6.0,311.0,254.0,47.0,10.0,0.0,0.0,0.0,0.0,0,254.0,366.0,113.0,181.0,36.0,21.0,6.0
14000US41005020504,"Census Tract 205.04, Clackamas, OR",2560.0,1975.0,971.0,396.0,468.0,130.0,0.0,10.0,585.0,477.0,92.0,16.0,0.0,0.0,0.0,0.0,0,477.0,1063.0,412.0,468.0,130.0,0.0,10.0
14000US41005020505,"Census Tract 205.05, Clackamas, OR",1173.0,709.0,394.0,154.0,130.0,20.0,11.0,0.0,464.0,436.0,28.0,0.0,0.0,0.0,0.0,0.0,0,436.0,422.0,154.0,130.0,20.0,11.0,0.0
14000US41005020600,"Census Tract 206, Clackamas, OR",3109.0,2337.0,1030.0,429.0,496.0,215.0,59.0,108.0,772.0,653.0,119.0,0.0,0.0,0.0,0.0,0.0,0,653.0,1149.0,429.0,496.0,215.0,59.0,108.0
14000US41005020700,"Census Tract 207, Clackamas, OR",1467.0,1162.0,489.0,239.0,327.0,86.0,15.0,6.0,305.0,243.0,62.0,0.0,0.0,0.0,0.0,0.0,0,243.0,551.0,239.0,327.0,86.0,15.0,6.0
14000US41005020800,"Census Tract 208, Clackamas, OR",1987.0,884.0,386.0,291.0,133.0,56.0,18.0,0.0,1103.0,832.0,187.0,84.0,0.0,0.0,0.0,0.0,0,832.0,573.0,375.0,133.0,56.0,18.0,0.0
14000US41005020900,"Census Tract 209, Clackamas, OR",1714.0,962.0,576.0,81.0,132.0,61.0,89.0,23.0,752.0,550.0,142.0,50.0,10.0,0.0,0.0,0.0,0,550.0,718.0,131.0,142.0,61.0,89.0,23.0
14000US41005021000,"Census Tract 210, Clackamas, OR",2013.0,1161.0,565.0,252.0,198.0,110.0,36.0,0.0,852.0,583.0,223.0,22.0,24.0,0.0,0.0,0.0,0,583.0,788.0,274.0,222.0,110.0,36.0,0.0
14000US41005021100,"Census Tract 211, Clackamas, OR",2233.0,1474.0,885.0,188.0,259.0,110.0,0.0,32.0,759.0,563.0,151.0,29.0,16.0,0.0,0.0,0.0,0,563.0,1036.0,217.0,275.0,110.0,0.0,32.0
14000US41005021200,"Census Tract 212, Clackamas, OR",1931.0,911.0,480.0,242.0,124.0,49.0,16.0,0.0,1020.0,803.0,167.0,50.0,0.0,0.0,0.0,0.0,0,803.0,647.0,292.0,124.0,49.0,16.0,0.0
14000US41005021300,"Census Tract 213, Clackamas, OR",2374.0,1302.0,595.0,324.0,222.0,118.0,13.0,30.0,1072.0,812.0,209.0,51.0,0.0,0.0,0.0,0.0,0,812.0,804.0,375.0,222.0,118.0,13.0,30.0
14000US41005021400,"Census Tract 214, Clackamas, OR",1968.0,1183.0,446.0,306.0,276.0,155.0,0.0,0.0,785.0,574.0,198.0,0.0,13.0,0.0,0.0,0.0,0,574.0,644.0,306.0,289.0,155.0,0.0,0.0
14000US41005021500,"Census Tract 215, Clackamas, OR",2056.0,1359.0,699.0,305.0,217.0,96.0,29.0,13.0,697.0,615.0,64.0,18.0,0.0,0.0,0.0,0.0,0,615.0,763.0,323.0,217.0,96.0,29.0,13.0
14000US41005021601,"Census Tract 216.01, Clackamas, OR",2460.0,1385.0,537.0,241.0,277.0,113.0,217.0,0.0,1075.0,834.0,218.0,15.0,0.0,0.0,0.0,8.0,0,834.0,755.0,256.0,277.0,113.0,217.0,8.0
14000US41005021602,"Census Tract 216.02, Clackamas, OR",1988.0,1341.0,563.0,386.0,198.0,124.0,43.0,27.0,647.0,409.0,153.0,73.0,12.0,0.0,0.0,0.0,0,409.0,716.0,459.0,210.0,124.0,43.0,27.0
14000US41005021700,"Census Tract 217, Clackamas, OR",2922.0,1754.0,856.0,478.0,255.0,33.0,25.0,107.0,1168.0,1061.0,55.0,52.0,0.0,0.0,0.0,0.0,0,1061.0,911.0,530.0,255.0,33.0,25.0,107.0
14000US41005021801,"Census Tract 218.01, Clackamas, OR",2248.0,1869.0,1001.0,311.0,376.0,109.0,54.0,18.0,379.0,344.0,20.0,15.0,0.0,0.0,0.0,0.0,0,344.0,1021.0,326.0,376.0,109.0,54.0,18.0
14000US41005021802,"Census Tract 218.02, Clackamas, OR",1957.0,952.0,449.0,193.0,186.0,52.0,72.0,0.0,1005.0,722.0,194.0,30.0,59.0,0.0,0.0,0.0,0,722.0,643.0,223.0,245.0,52.0,72.0,0.0
14000US41005021900,"Census Tract 219, Clackamas, OR",1418.0,983.0,393.0,220.0,262.0,76.0,13.0,19.0,435.0,362.0,45.0,28.0,0.0,0.0,0.0,0.0,0,362.0,438.0,248.0,262.0,76.0,13.0,19.0
14000US41005022000,"Census Tract 220, Clackamas, OR",2452.0,1550.0,560.0,397.0,365.0,146.0,49.0,33.0,902.0,710.0,182.0,0.0,0.0,10.0,0.0,0.0,0,710.0,742.0,397.0,365.0,156.0,49.0,33.0
14000US41005022101,"Census Tract 221.01, Clackamas, OR",2558.0,1848.0,869.0,347.0,360.0,79.0,159.0,34.0,710.0,556.0,121.0,0.0,33.0,0.0,0.0,0.0,0,556.0,990.0,347.0,393.0,79.0,159.0,34.0
14000US41005022103,"Census Tract 221.03, Clackamas, OR",2738.0,2147.0,829.0,630.0,351.0,145.0,150.0,42.0,591.0,537.0,25.0,29.0,0.0,0.0,0.0,0.0,0,537.0,854.0,659.0,351.0,145.0,150.0,42.0
14000US41005022105,"Census Tract 221.05, Clackamas, OR",2251.0,1604.0,660.0,387.0,315.0,88.0,75.0,79.0,647.0,440.0,131.0,76.0,0.0,0.0,0.0,0.0,0,440.0,791.0,463.0,315.0,88.0,75.0,79.0
14000US41005022107,"Census Tract 221.07, Clackamas, OR",1822.0,852.0,255.0,217.0,260.0,80.0,40.0,0.0,970.0,658.0,153.0,141.0,18.0,0.0,0.0,0.0,0,658.0,408.0,358.0,278.0,80.0,40.0,0.0
14000US41005022108,"Census Tract 221.08, Clackamas, OR",1381.0,731.0,284.0,132.0,193.0,92.0,30.0,0.0,650.0,475.0,155.0,20.0,0.0,0.0,0.0,0.0,0,475.0,439.0,152.0,193.0,92.0,30.0,0.0
14000US41005022201,"Census Tract 222.01, Clackamas, OR",2726.0,938.0,361.0,276.0,82.0,140.0,46.0,33.0,1788.0,1382.0,332.0,74.0,0.0,0.0,0.0,0.0,0,1382.0,693.0,350.0,82.0,140.0,46.0,33.0
14000US41005022205,"Census Tract 222.05, Clackamas, OR",1424.0,954.0,444.0,157.0,228.0,100.0,17.0,8.0,470.0,318.0,107.0,15.0,20.0,0.0,10.0,0.0,0,318.0,551.0,172.0,248.0,100.0,27.0,8.0
14000US41005022206,"Census Tract 222.06, Clackamas, OR",2491.0,1846.0,800.0,356.0,431.0,250.0,9.0,0.0,645.0,447.0,165.0,33.0,0.0,0.0,0.0,0.0,0,447.0,965.0,389.0,431.0,250.0,9.0,0.0
14000US41005022207,"Census Tract 222.07, Clackamas, OR",1971.0,1735.0,576.0,426.0,386.0,234.0,29.0,84.0,236.0,170.0,50.0,8.0,8.0,0.0,0.0,0.0,0,170.0,626.0,434.0,394.0,234.0,29.0,84.0
14000US41005022208,"Census Tract 222.08, Clackamas, OR",2391.0,1966.0,650.0,430.0,622.0,178.0,68.0,18.0,425.0,268.0,157.0,0.0,0.0,0.0,0.0,0.0,0,268.0,807.0,430.0,622.0,178.0,68.0,18.0
14000US41005022301,"Census Tract 223.01, Clackamas, OR",1536.0,1238.0,576.0,266.0,244.0,123.0,11.0,18.0,298.0,229.0,44.0,13.0,0.0,6.0,6.0,0.0,0,229.0,620.0,279.0,244.0,129.0,17.0,18.0
14000US41005022302,"Census Tract 223.02, Clackamas, OR",2071.0,1457.0,598.0,225.0,430.0,123.0,53.0,28.0,614.0,345.0,223.0,36.0,0.0,10.0,0.0,0.0,0,345.0,821.0,261.0,430.0,133.0,53.0,28.0
14000US41005022400,"Census Tract 224, Clackamas, OR",1706.0,949.0,322.0,341.0,225.0,44.0,17.0,0.0,757.0,609.0,148.0,0.0,0.0,0.0,0.0,0.0,0,609.0,470.0,341.0,225.0,44.0,17.0,0.0
14000US41005022500,"Census Tract 225, Clackamas, OR",2983.0,2017.0,953.0,445.0,268.0,252.0,64.0,35.0,966.0,698.0,226.0,27.0,15.0,0.0,0.0,0.0,0,698.0,1179.0,472.0,283.0,252.0,64.0,35.0
14000US41005022602,"Census Tract 226.02, Clackamas, OR",1661.0,1364.0,653.0,274.0,327.0,72.0,26.0,12.0,297.0,219.0,57.0,9.0,12.0,0.0,0.0,0.0,0,219.0,710.0,283.0,339.0,72.0,26.0,12.0
14000US41005022603,"Census Tract 226.03, Clackamas, OR",1438.0,1016.0,425.0,194.0,242.0,64.0,52.0,39.0,422.0,244.0,149.0,16.0,13.0,0.0,0.0,0.0,0,244.0,574.0,210.0,255.0,64.0,52.0,39.0
14000US41005022605,"Census Tract 226.05, Clackamas, OR",2649.0,1894.0,704.0,397.0,506.0,189.0,8.0,90.0,755.0,575.0,121.0,59.0,0.0,0.0,0.0,0.0,0,575.0,825.0,456.0,506.0,189.0,8.0,90.0
14000US41005022606,"Census Tract 226.06, Clackamas, OR",1818.0,1425.0,650.0,307.0,261.0,169.0,7.0,31.0,393.0,307.0,38.0,9.0,39.0,0.0,0.0,0.0,0,307.0,688.0,316.0,300.0,169.0,7.0,31.0
14000US41005022702,"Census Tract 227.02, Clackamas, OR",2674.0,2130.0,1198.0,367.0,402.0,143.0,20.0,0.0,544.0,477.0,67.0,0.0,0.0,0.0,0.0,0.0,0,477.0,1265.0,367.0,402.0,143.0,20.0,0.0
14000US41005022707,"Census Tract 227.07, Clackamas, OR",2413.0,1755.0,783.0,409.0,399.0,138.0,26.0,0.0,658.0,579.0,79.0,0.0,0.0,0.0,0.0,0.0,0,579.0,862.0,409.0,399.0,138.0,26.0,0.0
14000US41005022708,"Census Tract 227.08, Clackamas, OR",1518.0,1085.0,364.0,245.0,213.0,199.0,36.0,28.0,433.0,279.0,154.0,0.0,0.0,0.0,0.0,0.0,0,279.0,518.0,245.0,213.0,199.0,36.0,28.0
14000US41005022710,"Census Tract 227.10, Clackamas, OR",1131.0,658.0,265.0,141.0,169.0,49.0,18.0,16.0,473.0,401.0,72.0,0.0,0.0,0.0,0.0,0.0,0,401.0,337.0,141.0,169.0,49.0,18.0,16.0
14000US41005022800,"Census Tract 228, Clackamas, OR",1995.0,1081.0,834.0,90.0,99.0,56.0,2.0,0.0,914.0,750.0,148.0,0.0,16.0,0.0,0.0,0.0,0,750.0,982.0,90.0,115.0,56.0,2.0,0.0
14000US41005022901,"Census Tract 229.01, Clackamas, OR",1350.0,1130.0,510.0,222.0,276.0,77.0,27.0,18.0,220.0,209.0,0.0,0.0,11.0,0.0,0.0,0.0,0,209.0,510.0,222.0,287.0,77.0,27.0,18.0
14000US41005022904,"Census Tract 229.04, Clackamas, OR",1376.0,860.0,223.0,272.0,176.0,82.0,97.0,10.0,516.0,425.0,65.0,19.0,7.0,0.0,0.0,0.0,0,425.0,288.0,291.0,183.0,82.0,97.0,10.0
14000US41005022905,"Census Tract 229.05, Clackamas, OR",1625.0,1169.0,535.0,236.0,188.0,134.0,20.0,56.0,456.0,389.0,28.0,25.0,14.0,0.0,0.0,0.0,0,389.0,563.0,261.0,202.0,134.0,20.0,56.0
14000US41005022906,"Census Tract 229.06, Clackamas, OR",1226.0,782.0,341.0,193.0,144.0,86.0,18.0,0.0,444.0,397.0,31.0,0.0,0.0,0.0,16.0,0.0,0,397.0,372.0,193.0,144.0,86.0,34.0,0.0
14000US41005022907,"Census Tract 229.07, Clackamas, OR",1492.0,1124.0,409.0,269.0,261.0,111.0,10.0,64.0,368.0,298.0,70.0,0.0,0.0,0.0,0.0,0.0,0,298.0,479.0,269.0,261.0,111.0,10.0,64.0
14000US41005023001,"Census Tract 230.01, Clackamas, OR",1251.0,991.0,533.0,128.0,230.0,34.0,10.0,56.0,260.0,219.0,26.0,9.0,6.0,0.0,0.0,0.0,0,219.0,559.0,137.0,236.0,34.0,10.0,56.0
14000US41005023002,"Census Tract 230.02, Clackamas, OR",1440.0,1110.0,524.0,161.0,273.0,93.0,25.0,34.0,330.0,278.0,52.0,0.0,0.0,0.0,0.0,0.0,0,278.0,576.0,161.0,273.0,93.0,25.0,34.0
14000US41005023100,"Census Tract 231, Clackamas, OR",2356.0,1746.0,855.0,450.0,324.0,117.0,0.0,0.0,610.0,336.0,274.0,0.0,0.0,0.0,0.0,0.0,0,336.0,1129.0,450.0,324.0,117.0,0.0,0.0
14000US41005023201,"Census Tract 232.01, Clackamas, OR",1542.0,1213.0,613.0,216.0,246.0,53.0,27.0,58.0,329.0,268.0,61.0,0.0,0.0,0.0,0.0,0.0,0,268.0,674.0,216.0,246.0,53.0,27.0,58.0
14000US41005023202,"Census Tract 232.02, Clackamas, OR",2618.0,2211.0,828.0,413.0,636.0,224.0,34.0,76.0,407.0,299.0,108.0,0.0,0.0,0.0,0.0,0.0,0,299.0,936.0,413.0,636.0,224.0,34.0,76.0
14000US41005023300,"Census Tract 233, Clackamas, OR",1850.0,1459.0,686.0,312.0,223.0,155.0,55.0,28.0,391.0,287.0,66.0,12.0,9.0,17.0,0.0,0.0,0,287.0,752.0,324.0,232.0,172.0,55.0,28.0
14000US41005023401,"Census Tract 234.01, Clackamas, OR",1804.0,1446.0,725.0,269.0,245.0,110.0,61.0,36.0,358.0,261.0,97.0,0.0,0.0,0.0,0.0,0.0,0,261.0,822.0,269.0,245.0,110.0,61.0,36.0
14000US41005023403,"Census Tract 234.03, Clackamas, OR",1973.0,1426.0,497.0,340.0,375.0,142.0,38.0,34.0,547.0,420.0,115.0,0.0,12.0,0.0,0.0,0.0,0,420.0,612.0,340.0,387.0,142.0,38.0,34.0
14000US41005023404,"Census Tract 234.04, Clackamas, OR",2332.0,1547.0,712.0,269.0,275.0,198.0,37.0,56.0,785.0,658.0,116.0,11.0,0.0,0.0,0.0,0.0,0,658.0,828.0,280.0,275.0,198.0,37.0,56.0
14000US41005023500,"Census Tract 235, Clackamas, OR",2052.0,1675.0,940.0,225.0,154.0,301.0,44.0,11.0,377.0,208.0,169.0,0.0,0.0,0.0,0.0,0.0,0,208.0,1109.0,225.0,154.0,301.0,44.0,11.0
14000US41005023600,"Census Tract 236, Clackamas, OR",1414.0,1057.0,571.0,200.0,141.0,88.0,33.0,24.0,357.0,275.0,82.0,0.0,0.0,0.0,0.0,0.0,0,275.0,653.0,200.0,141.0,88.0,33.0,24.0
14000US41005023700,"Census Tract 237, Clackamas, OR",1773.0,1484.0,684.0,257.0,265.0,142.0,105.0,31.0,289.0,243.0,38.0,8.0,0.0,0.0,0.0,0.0,0,243.0,722.0,265.0,265.0,142.0,105.0,31.0
14000US41005023800,"Census Tract 238, Clackamas, OR",2296.0,1781.0,876.0,301.0,330.0,201.0,32.0,41.0,515.0,361.0,138.0,16.0,0.0,0.0,0.0,0.0,0,361.0,1014.0,317.0,330.0,201.0,32.0,41.0
14000US41005023901,"Census Tract 239.01, Clackamas, OR",1855.0,1392.0,508.0,244.0,380.0,174.0,73.0,13.0,463.0,361.0,102.0,0.0,0.0,0.0,0.0,0.0,0,361.0,610.0,244.0,380.0,174.0,73.0,13.0
14000US41005023902,"Census Tract 239.02, Clackamas, OR",1892.0,1235.0,417.0,239.0,265.0,159.0,58.0,97.0,657.0,505.0,130.0,5.0,17.0,0.0,0.0,0.0,0,505.0,547.0,244.0,282.0,159.0,58.0,97.0
14000US41005024000,"Census Tract 240, Clackamas, OR",966.0,752.0,345.0,157.0,178.0,49.0,23.0,0.0,214.0,150.0,64.0,0.0,0.0,0.0,0.0,0.0,0,150.0,409.0,157.0,178.0,49.0,23.0,0.0
14000US41005024100,"Census Tract 241, Clackamas, OR",1787.0,1316.0,590.0,242.0,201.0,143.0,85.0,55.0,471.0,373.0,76.0,0.0,13.0,9.0,0.0,0.0,0,373.0,666.0,242.0,214.0,152.0,85.0,55.0
14000US41005024200,"Census Tract 242, Clackamas, OR",2409.0,1849.0,869.0,366.0,440.0,75.0,45.0,54.0,560.0,472.0,73.0,0.0,15.0,0.0,0.0,0.0,0,472.0,942.0,366.0,455.0,75.0,45.0,54.0
14000US41005024302,"Census Tract 243.02, Clackamas, OR",1959.0,1486.0,863.0,265.0,160.0,110.0,57.0,31.0,473.0,342.0,120.0,0.0,0.0,11.0,0.0,0.0,0,342.0,983.0,265.0,160.0,121.0,57.0,31.0
14000US41005024303,"Census Tract 243.03, Clackamas, OR",1164.0,857.0,527.0,74.0,161.0,56.0,39.0,0.0,307.0,238.0,69.0,0.0,0.0,0.0,0.0,0.0,0,238.0,596.0,74.0,161.0,56.0,39.0,0.0
14000US41005024304,"Census Tract 243.04, Clackamas, OR",984.0,565.0,273.0,132.0,86.0,41.0,27.0,6.0,419.0,361.0,48.0,10.0,0.0,0.0,0.0,0.0,0,361.0,321.0,142.0,86.0,41.0,27.0,6.0
14000US41005024400,"Census Tract 244, Clackamas, OR",3275.0,1911.0,902.0,392.0,374.0,195.0,7.0,41.0,1364.0,860.0,432.0,37.0,20.0,15.0,0.0,0.0,0,860.0,1334.0,429.0,394.0,210.0,7.0,41.0
14000US41005980000,"Census Tract 9800, Clackamas, OR",22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
14000US41007950100,"Census Tract 9501, Clatsop, OR",1441.0,763.0,428.0,85.0,120.0,101.0,8.0,21.0,678.0,560.0,112.0,0.0,0.0,0.0,6.0,0.0,0,560.0,540.0,85.0,120.0,101.0,14.0,21.0
14000US41007950200,"Census Tract 9502, Clatsop, OR",1831.0,871.0,515.0,236.0,81.0,39.0,0.0,0.0,960.0,886.0,74.0,0.0,0.0,0.0,0.0,0.0,0,886.0,589.0,236.0,81.0,39.0,0.0,0.0
14000US41007950300,"Census Tract 9503, Clatsop, OR",1273.0,688.0,366.0,128.0,104.0,39.0,51.0,0.0,585.0,454.0,131.0,0.0,0.0,0.0,0.0,0.0,0,454.0,497.0,128.0,104.0,39.0,51.0,0.0
14000US41007950400,"Census Tract 9504, Clatsop, OR",1421.0,1065.0,531.0,207.0,105.0,160.0,22.0,40.0,356.0,275.0,81.0,0.0,0.0,0.0,0.0,0.0,0,275.0,612.0,207.0,105.0,160.0,22.0,40.0
14000US41007950500,"Census Tract 9505, Clatsop, OR",1854.0,1254.0,543.0,319.0,270.0,83.0,15.0,24.0,600.0,484.0,116.0,0.0,0.0,0.0,0.0,0.0,0,484.0,659.0,319.0,270.0,83.0,15.0,24.0
14000US41007950600,"Census Tract 9506, Clatsop, OR",1120.0,794.0,417.0,83.0,117.0,34.0,76.0,67.0,326.0,183.0,105.0,27.0,11.0,0.0,0.0,0.0,0,183.0,522.0,110.0,128.0,34.0,76.0,67.0
